fighter,Knockdown,Significant_Strike_Percent,Takedown_Percent,Submission_Attempt,Ground_Control,win_by,No_of_rounds,Weight Division,Significant_Strikes_Landed,Significant_Strikes_Attempted,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Ground_Strikes_Landed,time_fought,Gender
BJ Penn,0.23449637685078184,-0.20876694863544457,-0.7500591176980219,-0.46013123491311975,-0.3563429366761797,-0.5312911765069215,-0.31586698122621565,-0.5960358839149367,0.11384273798191125,0.18243190593914418,-0.14988745833587075,0.016075561804076977,-0.6313436617532403,-0.7607695490058776,-0.3570894395835546,0.030476965781794634,0.35021973522625305
Baergeng Jieleyisi,-0.43976262958880546,-2.042677360769051,2.1068223299104165,-0.46013123491311975,-0.6699206470459036,-0.1349800088805281,-0.31586698122621565,-0.8590695926448203,-0.8839419675399282,-0.17588233976144008,-0.1725029108969216,0.11371066797265857,-0.04197245685480683,-0.49554429925418436,-0.5421121109929106,0.7085023599370845,0.35021973522625305
Barb Honchak,-0.43976262958880546,-0.9423311134888872,-0.7500591176980219,0.758044304146627,-0.7072058016325476,-0.7294467603201181,-0.31586698122621565,-1.122103301374704,0.3041418828494785,1.0405002311694906,-0.13857973205534535,0.7058888119081856,-0.6313436617532403,-0.628156924130031,-0.5421121109929106,0.17088549427171842,-2.855350225634682
Bart Palaszewski,-0.43976262958880546,-0.8812007664177669,-0.7500591176980219,0.7580443041466269,-0.7138980088660478,-0.1349800088805281,-0.31586698122621565,-0.5960358839149367,-0.3284741933318938,0.026848088727048358,-0.5494271202477691,-0.17494964591706083,-0.6313436617532403,-0.7607695490058776,-0.46810304242916817,0.12007977672602228,0.35021973522625305
Bartosz Fabinski,-0.43976262958880546,-0.16801338392136445,0.6783816061061975,-0.46013123491311975,-0.46341825241218304,-0.1349800088805281,-0.31586698122621565,0.061548387909772434,-1.0382385714866045,-1.0716679540129006,-1.0469670765908876,-1.1513007076028763,-0.23842952515428464,-0.4955442992541843,-0.5421121109929106,-1.4678298316567344,0.35021973522625305
Bassil Hafez,-0.43976262958880546,-0.6163025957762459,-0.035838755795912204,-0.46013123491311975,0.1618251091176932,-0.5312911765069215,-0.31586698122621565,0.061548387909772434,0.39157662508592833,0.6680420020859886,0.04611313052656988,0.44906603263865613,0.5473987480436265,1.4494408655915663,-0.43109850814729694,0.4683298769937938,0.35021973522625305
Batgerel Danaa,0.2344963768507818,-0.8200704193466467,1.1545285140409371,-0.46013123491311975,-0.6010865155013301,0.6576423263722586,-0.31586698122621565,-0.8590695926448203,0.6898833927161689,1.2668039652961756,0.5888839919917904,1.2301468819873083,-0.23842952515428464,-0.49554429925418436,-0.13506223389232738,0.26048830521594607,0.35021973522625305
Bea Malecki,-0.43976262958880546,-0.331027642777685,-0.7500591176980219,0.3519857911267114,-0.24544350252103353,0.26133115874586527,-0.31586698122621565,-0.8590695926448203,0.731029153768616,0.6916153077241849,0.6642688338619596,0.7419713511444006,-0.6313436617532403,-0.7607695490058776,-0.06105316532858496,-0.29560336682967314,-2.855350225634682
Bec Rawlings,-0.43976262958880546,-0.4736651192769655,0.3546017087105744,-0.05407272189320419,-0.2664761538263199,-0.9276023441333147,-0.31586698122621565,-1.3851370101045877,0.7927477953472865,1.1206494703393581,0.332575529633214,0.8523414711610581,-0.04197245685480683,-0.3187274660863888,-0.3940939738654257,0.7085023599370844,-2.855350225634682
Bekzat Almakhan,1.5830143897299565,-0.025375907422083954,-0.7500591176980219,-0.46013123491311975,-0.6641844694171892,0.4594867425590619,-0.31586698122621565,-0.8590695926448203,-0.9919495903026014,-1.0033053676621313,-1.1110441921805316,-1.1088506614426235,-0.6313436617532403,-0.7607695490058776,-0.431098508147297,-0.4498680001047868,0.35021973522625305
Belal Muhammad,-0.43976262958880546,0.13763835143423664,0.22128057448884728,-0.46013123491311975,0.9973949837004329,-0.1349800088805281,3.165889628975897,0.061548387909772434,2.2534223127091546,2.209736190824029,2.352889291753756,2.537608303723096,1.7261411578404935,1.1842156158398731,-0.24607583673794098,2.371234934159866,0.35021973522625305
Ben Alloway,0.23449637685078184,0.46366686914687777,-0.2739122097632821,-0.46013123491311975,-0.545636798423757,0.26133115874586527,-0.31586698122621565,0.061548387909772434,-0.8427962064874812,-0.8972254922902478,-0.8585049719154639,-0.9645205044977638,-0.4348865934537625,-0.5839527158380821,-0.3200849053016834,-0.4406305969146603,0.35021973522625305
Ben Askren,-0.43976262958880546,-1.7777791901275302,0.26889526528232127,-0.05407272189320419,-0.32192587090389296,0.26133115874586527,0.8447185555078219,0.061548387909772434,-0.5136301180679054,-0.5907725189936955,-0.4665037941905826,-0.6036951121356146,0.35094167974414886,0.034906200249202206,-0.3200849053016834,-0.8258303099429379,0.35021973522625305
Ben Nguyen,-0.43976262958880546,-0.5551722487051258,0.20223469817145756,-0.05407272189320419,-0.5551970944716144,-0.1349800088805281,-0.31586698122621565,-1.122103301374704,-0.5136301180679053,-0.3314661569735358,-0.5192731834997012,-0.4041798951824262,-0.43488659345376246,-0.6723611324219799,-0.5051075767110395,-0.25957749438817956,0.35021973522625305
Ben Rothwell,-0.43976262958880546,-0.4125347722058453,0.2022346981714576,0.35198579112671147,-0.4959232589748983,0.26133115874586527,-0.31586698122621565,2.560368620843667,0.39157662508592833,0.620895390809596,0.015959193778502117,0.4235960049425043,-0.4348865934537625,-0.5839527158380821,-0.5421121109929106,-0.5302334078588878,0.35021973522625305
Ben Saunders,-0.43976262958880546,0.38215973971871753,-0.7500591176980219,1.1641028171665428,-0.7005135943990474,1.053953493998652,-0.31586698122621565,0.061548387909772434,-0.44162503622612315,-0.5530552299725814,-0.5268116676867182,-0.6461451582958674,-0.6313436617532403,-0.7607695490058776,-0.28308037101981215,-0.801813061648609,0.35021973522625305
Ben Sosoli,-0.43976262958880546,-1.0034614605600074,-0.7500591176980219,-0.46013123491311975,-0.7674356667340495,1.053953493998652,-0.31586698122621565,2.560368620843667,-1.0073792506972692,-0.9538014258219191,-1.144967371022108,-1.1215856752906994,-0.6313436617532403,-0.7607695490058776,-0.5421121109929106,-1.5417290571777469,0.35021973522625305
Ben Wall,-0.43976262958880546,-0.9117659399533271,-0.7500591176980219,-0.46013123491311975,-0.7674356667340495,1.053953493998652,-0.31586698122621565,0.061548387909772434,-1.0845275526706073,-1.0740252845767204,-1.1901982761442098,-1.2234657860753062,-0.6313436617532403,-0.628156924130031,-0.5421121109929106,-1.5029319637792153,0.35021973522625305
Benardo Sopaj,0.5716258800705755,0.5859275632891182,1.2640423028659273,-0.46013123491311975,0.4314254576672729,0.4594867425590619,-0.31586698122621565,-0.8590695926448203,0.7824613550841748,0.3969489872467308,0.8791156331919427,0.5785386734274273,0.8420843504928434,0.16751882512504884,1.7336667473421685,0.6821757608452239,0.35021973522625305
Beneil Dariush,0.23449637685078184,-0.4940419016340056,-0.7500591176980219,-0.46013123491311975,-0.388847943238895,0.6576423263722585,0.8447185555078219,-0.33300217518505304,-0.4107657154367878,-0.4116153961434034,-0.49665773093865034,-0.46785496442280544,-0.6313436617532403,-0.7607695490058776,-0.13506223389232735,-0.664175754115723,0.35021973522625305
Benito Lopez,-0.43976262958880546,0.6063043456461583,-0.7500591176980219,-0.46013123491311975,-0.6546241733693318,-0.1349800088805281,-0.31586698122621565,-0.8590695926448203,-0.3593335141212292,-0.39747141276048553,-0.6398889304919725,-0.6036951121356146,-0.6313436617532403,-0.7607695490058776,-0.3940939738654257,-0.5080636402025841,0.35021973522625305
Benji Radach,0.5716258800705755,0.09688478672015649,-0.7500591176980219,-0.46013123491311975,1.0136474869817906,-0.1349800088805281,-0.31586698122621565,0.061548387909772434,-0.6524970616199139,-0.741641675078152,-0.09334882693324362,-0.45299744826671695,-0.6313436617532403,-0.7607695490058776,0.6235307188860324,-0.18383078822914167,0.35021973522625305
Benoit Saint Denis,-0.43976262958880546,0.9934632104299196,0.2212805744888473,0.7580443041466269,0.43716163529598734,0.26133115874586527,2.0053040922418597,-0.33300217518505304,0.16527493929746995,-0.23245827329311128,0.10642100402270553,-0.19192966438116196,0.5473987480436265,0.30013145000089547,-0.17206676817419853,-0.3935198406450147,0.35021973522625305
Benson Henderson,-0.43976262958880546,0.2802758279335172,0.059390625791035746,-0.05407272189320419,0.5461490102415621,-0.9276023441333147,2.0053040922418597,-0.33300217518505304,1.1939189656086446,0.9509216697443446,1.1241163692699936,0.9966716281059179,0.5473987480436265,0.8305819495042822,-0.28308037101981215,1.4825967472696906,0.35021973522625305
